id,original_title,title,runtime
32119,The Boys of St. Vincent,The Boys of St. Vincent,90.0
11066,Boomerang,Boomerang,117.0
11104,重慶森林,Chungking Express,102.0
37975,L'uomo delle stelle,The Star Maker,113.0
2074,Flirting with Disaster,Flirting with Disaster,92.0
27793,The NeverEnding Story III,The Neverending Story III: Escape from Fantasia,95.0
44284,صمت القصور,The Silences of the Palace,116.0
290157,Jupiter's Wife,Jupiter's Wife,87.0
110972,Pie in the Sky,Pie in the Sky,95.0
32622,Angela,Angela,99.0
73067,Frankie Starlight,Frankie Starlight,101.0
11863,Jade,Jade,95.0
55475,Nueba Yol,Nueba Yol,102.0
124636,Sonic Outlaws,Sonic Outlaws,87.0
9101,Down Periscope,Down Periscope,92.0
123360,From the Journals of Jean Seberg,From the Journals of Jean Seberg,97.0
5757,Man of the Year,Man of the Year,86.0
39428,The Neon Bible,The Neon Bible,91.0
124639,Target,Target,122.0
9302,Up Close & Personal,Up Close & Personal,119.0
11000,The Birdcage,The Birdcage,117.0
249882,Gospa,Virgin Mary,125.0
16388,The Brothers McMullen,The Brothers McMullen,98.0
9737,Bad Boys,Bad Boys,118.0
30765,The Amazing Panda Adventure,The Amazing Panda Adventure,81.0
10474,The Basketball Diaries,The Basketball Diaries,102.0
22279,An Awfully Big Adventure,An Awfully Big Adventure,113.0
30157,Amateur,Amateur,105.0
568,Apollo 13,Apollo 13,140.0
11780,Rob Roy,Rob Roy,139.0
34996,The Addiction,The Addiction,82.0
414,Batman Forever,Batman Forever,121.0
649,Belle de jour,Belle de Jour,101.0
1873,Beyond Rangoon,Beyond Rangoon,100.0
5894,Blue in the Face,Blue in the Face,83.0
1775,Canadian Bacon,Canadian Bacon,91.0
8839,Casper,Casper,100.0
20649,Clockers,Clockers,128.0
10329,Congo,Congo,109.0
8963,Crimson Tide,Crimson Tide,116.0
26564,Crumb,Crumb,119.0
8068,Desperado,Desperado,104.0
8512,Devil in a Blue Dress,Devil in a Blue Dress,102.0
1572,Die Hard: With a Vengeance,Die Hard: With a Vengeance,128.0
13552,The Doom Generation,The Doom Generation,80.0
259209,Feast of July,Feast of July,116.0
6520,First Knight,First Knight,134.0
9073,Free Willy 2 - The Adventure Home,Free Willy 2 - The Adventure Home,95.0
10428,Hackers,Hackers,107.0
17447,Jeffrey,Jeffrey,92.0
9886,Johnny Mnemonic,Johnny Mnemonic,97.0
9482,Judge Dredd,Judge Dredd,96.0
19326,Jury Duty,Jury Duty,88.0
9344,Kids,Kids,91.0
9071,Living in Oblivion,Living in Oblivion,89.0
8973,Lord of Illusions,Lord of Illusions,119.0
15730,Love & Human Remains,Love & Human Remains,100.0
47608,Mad Love,Mad Love,95.0
2293,Mallrats,Mallrats,94.0
9070,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,92.0
68274,Moonlight and Valentino,Moonlight and Valentino,100.0
48787,Mute Witness,Mute Witness,95.0
34574,Nadja,Nadja,93.0
1642,The Net,The Net,114.0
11472,Nine Months,Nine Months,103.0
36196,Party Girl,Party Girl,94.0
11980,The Prophecy,The Prophecy,98.0
58372,Reckless,Reckless,91.0
32646,Safe,Safe,119.0
10533,The Scarlet Letter,The Scarlet Letter,135.0
56088,The Show,The Show,93.0
10802,Showgirls,Showgirls,128.0
10149,Smoke,Smoke,112.0
18402,Something to Talk About,Something to Talk About,106.0
9348,Species,Species,108.0
139408,The Stars Fell on Henrietta,The Stars Fell on Henrietta,109.0
281,Strange Days,Strange Days,145.0
5967,Les parapluies de Cherbourg,The Umbrellas of Cherbourg,91.0
79593,The Tie That Binds,The Tie That Binds,99.0
47939,Three Wishes,Three Wishes,115.0
36834,Total Eclipse,Total Eclipse,111.0
9090,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar",105.0
3512,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,100.0
52856,Unstrung Heroes,Unstrung Heroes,93.0
77350,Unzipped,Unzipped,73.0
9560,A Walk in the Clouds,A Walk in the Clouds,103.0
9804,Waterworld,Waterworld,135.0
31611,White Man's Burden,White Man's Burden,89.0
65796,Wild Bill,Wild Bill,98.0
49805,The Browning Version,The Browning Version,97.0
26258,Bushwhacked,Bushwhacked,90.0
50797,Утомлённые солнцем,Burnt by the Sun,135.0
19155,Before the Rain,Before the Rain,113.0
76,Before Sunrise,Before Sunrise,105.0
11017,Billy Madison,Billy Madison,89.0
37141,The Babysitter,The Babysitter,90.0
9382,Boys on the Side,Boys on the Side,115.0
6715,The Cure,The Cure,97.0
18256,Castle Freak,Castle Freak,95.0
22625,Circle of Friends,Circle of Friends,103.0
2292,Clerks,Clerks,92.0
1909,Don Juan DeMarco,Don Juan DeMarco,97.0
8984,Disclosure,Disclosure,123.0
61813,Dream Man,Dream Man,0.0
4954,Drop Zone,Drop Zone,101.0
62488,Destiny Turns on the Radio,Destiny Turns on the Radio,0.0
10531,Death and the Maiden,Death and the Maiden,103.0
11929,Dolores Claiborne,Dolores Claiborne,132.0
8467,Dumb and Dumber,Dumb and Dumber,107.0
10451,飲食男女,Eat Drink Man Woman,123.0
20156,Exotica,Exotica,103.0
18395,Exit to Eden,Exit to Eden,113.0
522,Ed Wood,Ed Wood,127.0
397,French Kiss,French Kiss,111.0
10525,Forget Paris,Forget Paris,101.0
27985,Far from Home: The Adventures of Yellow Dog,Far from Home: The Adventures of Yellow Dog,87.0
15789,A Goofy Movie,A Goofy Movie,78.0
27303,Hideaway,Hideaway,103.0
21183,Fluke,Fluke,96.0
10954,Farinelli,Farinelli,111.0
47867,Gordy,Gordy,90.0
43475,Gumby: The Movie,Gumby: The Movie,77.0
72031,The Glass Shield,The Glass Shield,109.0
14275,Hoop Dreams,Hoop Dreams,171.0
1024,Heavenly Creatures,Heavenly Creatures,99.0
17207,Houseguest,Houseguest,113.0
13701,Immortal Beloved,Immortal Beloved,121.0
14819,Heavyweights,Heavyweights,100.0
32631,The Hunted,The Hunted,106.0
11777,I.Q.,I.Q.,100.0
628,Interview with the Vampire,Interview with the Vampire,123.0
87729,Jefferson in Paris,Jefferson in Paris,139.0
18713,The Jerky Boys,The Jerky Boys,82.0
6280,Junior,Junior,109.0
9061,Just Cause,Just Cause,102.0
37108,A Kid in King Arthur's Court,A Kid in King Arthur's Court,89.0
6071,Kiss of Death,Kiss of Death,101.0
11,Star Wars,Star Wars,121.0
9587,Little Women,Little Women,115.0
19101,A Little Princess,A Little Princess,97.0
49980,Ladybird Ladybird,Ladybird Ladybird,101.0
17961,L'Enfer,L'Enfer,100.0
18183,Como agua para chocolate,Like Water for Chocolate,105.0
4476,Legends of the Fall,Legends of the Fall,133.0
11008,Major Payne,Major Payne,95.0
47504,Little Odessa,Little Odessa,98.0
32325,Mi Vida Loca,Mi Vida Loca,92.0
43742,Love Affair,Love Affair,108.0
28313,Losing Isaiah,Losing Isaiah,106.0
11318,The Madness of King George,The Madness of King George,107.0
3036,Frankenstein,Mary Shelley's Frankenstein,123.0
40490,Man of the House,Man of the House,96.0
24070,Mixed Nuts,Mixed Nuts,97.0
8986,Milk Money,Milk Money,108.0
10510,Miracle on 34th Street,Miracle on 34th Street,114.0
17402,Miami Rhapsody,Miami Rhapsody,95.0
38722,My Family,My Family,128.0
8438,Murder in the First,Murder in the First,122.0
11593,Nobody's Fool,Nobody's Fool,110.0
1945,Nell,Nell,112.0
39310,New Jersey Drive,New Jersey Drive,98.0
109560,New York Cop,New York Cop,93.0
56428,Beyond Bedlam,Beyond Bedlam,89.0
63105,Nemesis 2 - Nebula,Nemesis 2 - Nebula,83.0
131957,Nina Takes a Lover,Nina Takes a Lover,100.0
241,Natural Born Killers,Natural Born Killers,119.0
9058,Only You,Only You,115.0
527,Once Were Warriors,Once Were Warriors,99.0
18220,Poison Ivy II: Lily,Poison Ivy II: Lily,106.0
6950,Outbreak,Outbreak,127.0
101,Léon,Leon: The Professional,110.0
63020,The Perez Family,The Perez Family,113.0
2307,A Pyromaniac's Love Story,A Pyromaniac's Love Story,94.0
680,Pulp Fiction,Pulp Fiction,154.0
41478,Panther,Panther,124.0
25296,Pushing Hands,Pushing Hands,105.0
40156,Priest,Priest,98.0
11450,Quiz Show,Quiz Show,133.0
30304,Picture Bride,Picture Bride,94.0
10452,La Reine Margot,Queen Margot,162.0
12106,The Quick and the Dead,The Quick and the Dead,107.0
161495,Roommates,Roommates,108.0
3586,Prêt-à-Porter,Prêt-à-Porter,133.0
110,Trois couleurs : Rouge,Three Colors: Red,99.0
108,Trois couleurs : Bleu,Three Colors: Blue,98.0
109,Trois couleurs : Blanc,Three Colors: White,91.0
159185,Pao Da Shuang Deng,"Red Firecracker, Green Firecracker",111.0
36357,Rent-a-Kid,Rent-a-Kid,85.0
92769,Relative Fear,Relative Fear,90.0
28033,Stuart Saves His Family,Stuart Saves His Family,95.0
22586,The Swan Princess,The Swan Princess,89.0
14334,The Secret of Roan Inish,The Secret of Roan Inish,97.0
2636,The Specialist,The Specialist,110.0
2164,Stargate,Stargate,121.0
11395,The Santa Clause,The Santa Clause,97.0
278,The Shawshank Redemption,The Shawshank Redemption,142.0
9905,Shallow Grave,Shallow Grave,92.0
87078,Suture,Suture,96.0
12527,Fresa y chocolate,Strawberry and Chocolate,108.0
20306,Swimming with Sharks,Swimming with Sharks,101.0
36614,The Sum of Us,The Sum of Us,100.0
27993,Senior Trip,Senior Trip,91.0
31439,活着,To Live,125.0
9067,Tank Girl,Tank Girl,98.0
9059,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,92.0
193,Star Trek: Generations,Star Trek: Generations,118.0
25066,Tales from the Hood,Tales from the Hood,98.0
46797,Tom & Viv,Tom & Viv,115.0
12122,Village of the Damned,Village of the Damned,99.0
11381,Tommy Boy,Tommy Boy,97.0
32636,Vanya on 42nd Street,Vanya on 42nd Street,119.0
36141,The Underneath,The Underneath,99.0
95963,The Walking Dead,The Walking Dead,88.0
1587,What's Eating Gilbert Grape,What's Eating Gilbert Grape,118.0
9271,Virtuosity,Virtuosity,106.0
2064,While You Were Sleeping,While You Were Sleeping,103.0
19855,The War,The War,126.0
60855,Double Happiness,Double Happiness,87.0
236,Muriel's Wedding,Muriel's Wedding,106.0
48287,The Baby-Sitters Club,The Baby-Sitters Club,94.0
3049,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,86.0
2759,"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",104.0
12635,Backbeat,Backbeat,100.0
10497,Bitter Moon,Bitter Moon,139.0
11382,Bullets Over Broadway,Bullets Over Broadway,98.0
9331,Clear and Present Danger,Clear and Present Danger,141.0
10731,The Client,The Client,119.0
10464,"Corrina, Corrina","Corrina, Corrina",115.0
34152,Crooklyn,Crooklyn,115.0
9495,The Crow,The Crow,102.0
29973,Cobb,Cobb,128.0
888,The Flintstones,The Flintstones,91.0
13,Forrest Gump,Forrest Gump,142.0
712,Four Weddings and a Funeral,Four Weddings and a Funeral,117.0
16295,Higher Learning,Higher Learning,127.0
48992,I Like It Like That,I Like It Like That,104.0
10879,I Love Trouble,I Love Trouble,123.0
10660,It Could Happen to You,It Could Happen to You,101.0
10714,The Jungle Book,The Jungle Book,111.0
41647,Die Macht der Bilder: Leni Riefenstahl,"The Wonderful, Horrible Life of Leni Riefenstahl",180.0
8587,The Lion King,The Lion King,89.0
1689,Little Buddha,Little Buddha,140.0
11596,New Nightmare,New Nightmare,112.0
854,The Mask,The Mask,101.0
9359,Maverick,Maverick,127.0
23333,Mrs. Parker and the Vicious Circle,Mrs. Parker and the Vicious Circle,125.0
36593,The Naked Gun 33⅓: The Final Insult,The Naked Gun 33⅓: The Final Insult,83.0
12280,The Paper,The Paper,112.0
2788,Reality Bites,Reality Bites,99.0
10427,Red Rock West,Red Rock West,98.0
11011,Ri¢hie Ri¢h,Ri¢hie Ri¢h,95.0
49803,Safe Passage,Safe Passage,98.0
8987,The River Wild,The River Wild,111.0
1637,Speed,Speed,116.0
15128,Speechless,Speechless,99.0
8831,Timecop,Timecop,99.0
36955,True Lies,True Lies,141.0
10449,When a Man Loves a Woman,When a Man Loves a Woman,126.0
10395,Wolf,Wolf,125.0
12160,Wyatt Earp,Wyatt Earp,191.0
40480,Bad Company,Bad Company,108.0
52038,A Man of No Importance,A Man of No Importance,99.0
29444,S.F.W.,S.F.W.,96.0
26352,A Low Down Dirty Shame,A Low Down Dirty Shame,100.0
39953,"Boys Life: Three Stories of Love, Lust, and Liberation","Boys Life: Three Stories of Love, Lust, and Liberation",91.0
41580,Le colonel Chabert,Colonel Chabert,110.0
315,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!",83.0
22067,Jason's Lyric,Jason's Lyric,119.0
18242,The Secret Adventures of Tom Thumb,The Secret Adventures of Tom Thumb,61.0
11667,Street Fighter,Street Fighter,102.0
32502,Coldblooded,Coldblooded,92.0
267188,Desert Winds,Desert Winds,97.0
28732,Fall Time,Fall Time,88.0
75555,The Fear,The Fear,98.0
42981,Frank and Ollie,Frank and Ollie,89.0
278939,Girl in the Cadillac,Girl in the Cadillac,89.0
291731,Homage,Homage,97.0
226229,Mirage,Mirage,92.0
203119,Open Season,Open Season,97.0
172923,Dos Crímenes,Dos Crímenes,0.0
316098,Brother Minister: The Assassination of Malcolm X,Brother Minister: The Assassination of Malcolm X,115.0
8011,Highlander III: The Sorcerer,Highlander: The Final Dimension,99.0
171857,Federal Hill,Federal Hill,97.0
2654,In the Mouth of Madness,In the Mouth of Madness,95.0
18069,8 Seconds,8 Seconds,105.0
19092,Above the Rim,Above the Rim,96.0
2758,Addams Family Values,Addams Family Values,94.0
38129,Martin Lawrence: You So Crazy,Martin Lawrence: You So Crazy,84.0
10436,The Age of Innocence,The Age of Innocence,139.0
13595,Airheads,Airheads,92.0
46094,The Air Up There,The Air Up There,107.0
9409,Another Stakeout,Another Stakeout,105.0
11853,Bad Girls,Bad Girls,99.0
16771,Barcelona,Barcelona,100.0
46924,Being Human,Being Human,122.0
11041,The Beverly Hillbillies,The Beverly Hillbillies,93.0
306,Beverly Hills Cop III,Beverly Hills Cop III,104.0
14522,Black Beauty,Black Beauty,88.0
26203,Blink,Blink,106.0
178,Blown Away,Blown Away,121.0
19819,Blue Chips,Blue Chips,108.0
57834,Blue Sky,Blue Sky,101.0
4722,Body Snatchers,Body Snatchers,87.0
18215,Boxing Helena,Boxing Helena,107.0
1607,A Bronx Tale,A Bronx Tale,121.0
26391,Cabin Boy,Cabin Boy,80.0
117553,Calendar Girl,Calendar Girl,90.0
6075,Carlito's Way,Carlito's Way,144.0
11310,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold,116.0
18658,Clean Slate,Clean Slate,107.0
9350,Cliffhanger,Cliffhanger,112.0
9612,Coneheads,Coneheads,88.0
2124,Color of Night,Color of Night,121.0
26261,Cops & Robbersons,Cops & Robbersons,93.0
19176,The Cowboy Way,The Cowboy Way,102.0
49299,Dangerous Game,Dangerous Game,108.0
11566,Dave,Dave,110.0
9571,Dazed and Confused,Dazed and Confused,102.0
9739,Demolition Man,Demolition Man,115.0
24257,The Endless Summer 2,The Endless Summer 2,109.0
34444,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,96.0
26141,Fatal Instinct,Fatal Instinct,91.0
10997,霸王别姬,Farewell My Concubine,171.0
50463,The Favor,The Favor,97.0
10443,Fearless,Fearless,122.0
20239,Fear of a Black Hat,Fear of a Black Hat,88.0
16297,With Honors,With Honors,103.0
18551,Flesh and Bone,Flesh and Bone,126.0
25440,Widows' Peak,Widows' Peak,101.0
9024,For Love or Money,For Love or Money,94.0
37233,The Firm,The Firm,154.0
1634,Free Willy,Free Willy,112.0
13815,Fresh,Fresh,114.0
5503,The Fugitive,The Fugitive,130.0
35588,Geronimo: An American Legend,Geronimo: An American Legend,115.0
2087,The Getaway,The Getaway,115.0
41579,Getting Even with Dad,Getting Even with Dad,109.0
18620,Go Fish,Go Fish,83.0
41006,A Good Man in Africa,A Good Man in Africa,94.0
4916,Guilty as Sin,Guilty as Sin,107.0
2019,Hard Target,Hard Target,97.0
31642,Heaven & Earth,Heaven & Earth,140.0
9255,Hot Shots! Part Deux,Hot Shots! Part Deux,86.0
26271,Live Nude Girls,Live Nude Girls,95.0
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain,99.0
2259,The House of the Spirits,The House of the Spirits,140.0
16097,House Party 3,House Party 3,100.0
11934,The Hudsucker Proxy,The Hudsucker Proxy,111.0
106143,I'll Do Anything,I'll Do Anything,115.0
12475,In the Army Now,In the Army Now,91.0
9386,In the Line of Fire,In the Line of Fire,128.0
7984,In the Name of the Father,In the Name of the Father,133.0
59930,The Inkwell,The Inkwell,110.0
15765,What's Love Got to Do with It,What's Love Got to Do with It,118.0
31643,Jimmy Hollywood,Jimmy Hollywood,112.0
6,Judgment Night,Judgment Night,110.0
329,Jurassic Park,Jurassic Park,127.0
10909,Kalifornia,Kalifornia,117.0
507,Killing Zoe,Killing Zoe,96.0
34024,King of the Hill,King of the Hill,103.0
29918,Lassie,Lassie,94.0
9593,Last Action Hero,Last Action Hero,130.0
42580,Life With Mikey,Life With Mikey,91.0
22317,Lightning Jack,Lightning Jack,98.0
1413,M. Butterfly,M. Butterfly,101.0
12121,Made in America,Made in America,111.0
2246,Malice,Malice,107.0
10502,The Man without a Face,The Man without a Face,114.0
10440,Manhattan Murder Mystery,Manhattan Murder Mystery,104.0
9516,Menace II Society,Menace II Society,97.0
2320,Executive Decision,Executive Decision,133.0
5879,愛のコリーダ,In the Realm of the Senses,105.0
83718,What Happened Was...,What Happened Was...,91.0
11971,Much Ado About Nothing,Much Ado About Nothing,111.0
2625,Mr. Jones,Mr. Jones,114.0
31911,Mr. Wonderful,Mr. Wonderful,98.0
788,Mrs. Doubtfire,Mrs. Doubtfire,125.0
21450,Naked,Naked,131.0
11231,The Next Karate Kid,The Next Karate Kid,107.0
41588,The New Age,The New Age,112.0
10447,No Escape,No Escape,118.0
31586,North,North,87.0
9300,Orlando,Orlando,93.0
9559,A Perfect World,A Perfect World,138.0
9800,Philadelphia,Philadelphia,125.0
713,The Piano,The Piano,121.0
8291,Poetic Justice,Poetic Justice,109.0
18133,The Program,The Program,112.0
25557,The Puppet Masters,The Puppet Masters,109.0
22588,Radioland Murders,Radioland Murders,108.0
10872,The Ref,The Ref,97.0
1245,The Remains of the Day,The Remains of the Day,134.0
11858,Renaissance Man,Renaissance Man,128.0
7007,Rising Sun,Rising Sun,125.0
10467,The Road to Wellville,The Road to Wellville,118.0
5550,RoboCop 3,RoboCop 3,104.0
8005,Robin Hood: Men in Tights,Robin Hood: Men in Tights,104.0
2088,Romeo Is Bleeding,Romeo Is Bleeding,100.0
10412,Romper Stomper,Romper Stomper,94.0
47889,Ruby in Paradise,Ruby in Paradise,114.0
14534,Rudy,Rudy,114.0
56583,The Saint of Fort Washington,The Saint of Fort Washington,99.0
41878,Les Nuits Fauves,Savage Nights,126.0
424,Schindler's List,Schindler's List,195.0
35233,The Scout,The Scout,101.0
14291,Searching for Bobby Fischer,Searching for Bobby Fischer,110.0
103413,Second Best,Second Best,105.0
11236,The Secret Garden,The Secret Garden,102.0
11592,Serial Mom,Serial Mom,95.0
8850,The Shadow,The Shadow,108.0
10445,Shadowlands,Shadowlands,131.0
695,Short Cuts,Short Cuts,187.0
43535,A Simple Twist of Fate,A Simple Twist of Fate,106.0
12519,Sirens,Sirens,98.0
23210,Six Degrees of Separation,Six Degrees of Separation,112.0
858,Sleepless in Seattle,Sleepless in Seattle,105.0
867,Sliver,Sliver,108.0
78,Blade Runner,Blade Runner,117.0
13203,Son in Law,Son in Law,95.0
10442,So I Married an Axe Murderer,So I Married an Axe Murderer,93.0
11074,Striking Distance,Striking Distance,102.0
33367,Harem,Harem,113.0
9607,Super Mario Bros.,Super Mario Bros.,104.0
17585,Surviving the Game,Surviving the Game,96.0
9057,Terminal Velocity,Terminal Velocity,102.0
20967,Thirty Two Short Films About Glenn Gould,Thirty Two Short Films About Glenn Gould,93.0
10635,Threesome,Threesome,93.0
9479,The Nightmare Before Christmas,The Nightmare Before Christmas,76.0
10057,The Three Musketeers,The Three Musketeers,105.0
11969,Tombstone,Tombstone,130.0
41590,Trial by Jury,Trial by Jury,107.0
319,True Romance,True Romance,120.0
26408,The War Room,The War Room,96.0
15139,The Pagemaster,The Pagemaster,80.0
161158,"Paris, France","Paris, France",112.0
218473,"The Beans of Egypt, Maine","The Beans of Egypt, Maine",0.0
85247,Killer,Killer,97.0
11446,Welcome to the Dollhouse,Welcome to the Dollhouse,88.0
51980,Germinal,Germinal,160.0
24405,Chasers,Chasers,102.0
11655,Cronos,Cronos,94.0
11800,Naked in New York,Naked in New York,95.0
8223,Kika,Kika,117.0
14587,Bhaji on the Beach,Bhaji on the Beach,100.0
31504,Little Big League,Little Big League,119.0
41653,Kådisbellan,The Slingshot,102.0
53185,Wide Eyed and Legless,Wide Eyed and Legless,102.0
95743,Foreign Student,Foreign Student,90.0
23637,Io speriamo che me la cavo,"Ciao, Professore!",100.0
17600,Spanking the Monkey,Spanking the Monkey,106.0
10897,The Little Rascals,The Little Rascals,82.0
349394,À la mode,À la mode,82.0
21352,Andre,Andre,94.0
68806,La scorta,The Escort,92.0
37345,Princess Caraboo,Princess Caraboo,97.0
32562,The Celluloid Closet,The Celluloid Closet,102.0
47507,Métisse,Café au Lait,94.0
25403,Caro diario,Dear Diary,100.0
124304,De eso no se habla,I Don't Want to Talk About It,106.0
9066,The Brady Bunch Movie,The Brady Bunch Movie,84.0
771,Home Alone,Home Alone,103.0
251,Ghost,Ghost,127.0
812,Aladdin,Aladdin,90.0
280,Terminator 2: Judgment Day,Terminator 2: Judgment Day,137.0
581,Dances with Wolves,Dances with Wolves,181.0
80350,Tough and Deadly,Tough and Deadly,92.0
268,Batman,Batman,126.0
274,The Silence of the Lambs,The Silence of the Lambs,119.0
408,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,83.0
10020,Beauty and the Beast,Beauty and the Beast,84.0
